"","tag_29_1","Freq"
"1","[none]",7
"2","108배",8
"3","10대",1
"4","14년 결혼",3
"5","1년 365일",2
"6","20018 다보스포럼",1
"7","20대",26
"8","20살",3
"9","22살",4
"10","30",2
"11","30대",58
"12","30대 여성",1
"13","3년",4
"14","3월10일태극기집회",4
"15","3차 북핵위기",2
"16","3학년",3
"17","40대",42
"18","4차 산업혁명",2
"19","50",3
"20","50대",43
"21","60",3
"22","60대",9
"23","70대",3
"24","a lady friend",2
"25","accident",1
"26","avoid",1
"27","avoids",1
"28","BOGO",1
"29","brakes",1
"30","buddha",93
"31","Buddha",93
"32","Buddhahood",93
"33","buddhism",96
"34","bus",1
"35","cam",1
"36","children",1
"37","christianity",3
"38","church",3
"39","crossing",1
"40","crossing the road",1
"41","crossing the road before the bus has left",1
"42","CTS",3
"43","CTSTV",3
"44","CTS기독교TV",3
"45","dashcam",1
"46","donald trump korea",2
"47","donald trump news",2
"48","donald trump north korea",2
"49","DPCW",4
"50","driver",1
"51","EBS",1
"52","emergency",1
"53","engeneering",1
"54","film",1
"55","future",2
"56","Gautama",93
"57","GOD",3
"58","hero",1
"59","heroes",1
"60","hit",1
"61","HMBC",1
"62","HWPL",5
"63","IPYG",4
"64","It'ssue",1
"65","Itssue",1
"66","IWPG",4
"67","Jesus",3
"68","Jesuschrist",3
"69","JTBC",1
"70","kids",1
"71","kim jung eun",2
"72","kreiss",1
"73","KTV",1
"74","KTV BOGO",1
"75","KTV 보고",1
"76","KTV 보고BOGO",1
"77","logistics",1
"78","MB수사",1
"79","MB와 문재인 정권 전면전 예고",1
"80","melania trump",2
"81","near miss",1
"82","NKTV",1
"83","nktv방송",1
"84","NK지식인연대",1
"85","norway",1
"86","pomnyun",101
"87","road",1
"88","roadcam",1
"89","safety",1
"90","school",1
"91","schoolbus",1
"92","technology",1
"93","traffic",1
"94","transferd",1
"95","transport",1
"96","truck",1
"97","trump",4
"98","trump china",2
"99","trump speech",2
"100","volvo",1
"101","WARP",3
"102","가섭3형제",2
"103","가슴",3
"104","가을강좌",1
"105","가장",4
"106","가장으로의 역할",4
"107","가정",5
"108","가정불화",1
"109","가정사",33
"110","가정형편",4
"111","가족",9
"112","가족 관계에서 생기는 마음의 상처",3
"113","가출",3
"114","가치",3
"115","각방",2
"116","간교",4
"117","간담회",1
"118","간증",3
"119","간증 영상",3
"120","갈등",8
"121","감사",3
"122","감성",4
"123","감정",4
"124","감정 전이",2
"125","감정노동자",3
"126","감정전염",2
"127","감정표현",4
"128","강연",1
"129","강제개종 희생자",1
"130","개꿈",5
"131","개별화물",3
"132","개인",3
"133","개인수행",28
"134","거짓말",4
"135","걱정",4
"136","건강",2
"137","건강상태",3
"138","검찰 변희재 구속영장 신청",2
"139","게으름",3
"140","게임 중독",3
"141","결정",1
"142","결정구조",3
"143","결정장애",3
"144","결혼",20
"145","결혼 적령기",1
"146","결혼반지",2
"147","결혼에 대한 준비",3
"148","결혼에 집착하는 이유",3
"149","결혼위기",3
"150","결혼의 의미",3
"151","결혼적령기",3
"152","결혼하는 꿈",3
"153","결혼할 여자",3
"154","겸손",4
"155","경서",3
"156","경제",3
"157","경제적 능력",3
"158","경제적 능력없는 남친과 헤어져야 하나요",3
"159","경험",3
"160","故 구지인",1
"161","고3",1
"162","고뇌",2
"163","고등학생",1
"164","고민",3
"165","고부간",3
"166","고부간 갈등",3
"167","고통",9
"168","공감",2
"169","공감의 법칙",2
"170","공감의 힘",2
"171","공감이란",2
"172","공동체",3
"173","공무원",10
"174","공무원 생활",2
"175","공무원 시험",3
"176","공부 못해도 성공",5
"177","공사",4
"178","공즉시색",4
"179","과거의 기억",1
"180","과보",2
"181","과잉",2
"182","과잉보호",1
"183","곽정은",2
"184","관계",3
"185","관점",1
"186","관점의 변화",3
"187","괴로움",10
"188","교감",2
"189","교구로",3
"190","교대근무",3
"191","교사",3
"192","교사 연수",3
"193","교사의 자격",3
"194","교육",12
"195","교통사고",2
"196","교화 이야기",2
"197","교화사례",2
"198","교회",5
"199","구업",2
"200","국가기술자격",1
"201","국민제안",1
"202","국민청원",1
"203","국민청원 및 제안",1
"204","굿",3
"205","규칙",3
"206","그냥 내려놓는다",1
"207","그냥한다",1
"208","그리스도",3
"209","금강산 공연 취소 통보",3
"210","긍정",5
"211","긍정에너지",1
"212","긍정적",5
"213","긍정적 사고",5
"214","긍정적 생각",1
"215","긍정적인 사람",1
"216","기계화",2
"217","기대 실망",2
"218","기도",93
"219","기도문",4
"220","기도회",2
"221","기독교",8
"222","기독교 간증",3
"223","기독교 영상",3
"224","기독교방송",3
"225","기독교텔레비전",3
"226","기억력",3
"227","기업들의 한국 大탈출과 일자리 大재앙",2
"228","기침",2
"229","기회주의",2
"230","긴장",4
"231","긴장과 수행",4
"232","김경수 댓글조작 연루",3
"233","김경수 드루킹 댓글조작단 문재인 대선과 지지율 개입",3
"234","김경수에 2700만원 불법후원",3
"235","김경수의원 댓글조작몸통",1
"236","김정은",3
"237","김정은 인공기 화형식",1
"238","김흥광",1
"239","까르마",4
"240","깨달음",108
"241","꿈",10
"242","꿈 뇌 과학",5
"243","꿈은 왜 꿀까",5
"244","나 혼자 산다",2
"245","나누기",4
"246","나디가섭",2
"247","나쁘다",4
"248","나이",1
"249","나이 50",2
"250","낙태",2
"251","낙태죄 폐지",1
"252","낙태죄 폐지 청원",1
"253","난치병",2
"254","남녀차별",2
"255","남동생",4
"256","남성",30
"257","남자와 여자",1
"258","남자친구",3
"259","남자친구 무관심",2
"260","남자친구와 동거",3
"261","남편",11
"262","남편 들이 좋아 하는 말",2
"263","남편과 대화",2
"264","남편과 대화 하기 싫어요",2
"265","남편과 대화단절",2
"266","남편과 싸움",1
"267","남편과 잠자리",2
"268","남편의 바람",3
"269","남편이 착해요",2
"270","남편폭력",3
"271","내가 매일 기쁘게",3
"272","내연녀손해배상위자료소송",4
"273","내적",2
"274","내적 갈등",3
"275","내적 불행",2
"276","내적불행",2
"277","노동",1
"278","노무현정권 적폐",1
"279","노후",3
"280","놀이",1
"281","누나",1
"282","눈맞춤",3
"283","늦깎이",1
"284","늦은 결혼",3
"285","늦은 출발",1
"286","다니엘",2
"287","다단계",2
"288","다른가족",1
"289","다보스포럼 '평창의 밤'에서 완죤 패씽당한 대한민국 국격!",1
"290","다혈질",8
"291","다혈질 성격",4
"292","다혈질 성격 고치기",4
"293","다혈질 아내",4
"294","다혈질 여자",4
"295","단명",3
"296","단세",2
"297","단순한 기술",2
"298","단순한 지식",2
"299","담배",3
"300","담임",6
"301","담화",4
"302","답답하면물어라",102
"303","당신이 삶에서 저지를 가장 큰 실수는 당신이 실수를 저지를까봐 계속해서 두려워하는 것이다",3
"304","대물림",6
"305","대선 결정적 송민순 문건 조작",3
"306","대통령 노회찬 특검대상",3
"307","대학",1
"308","대학생",4
"309","대한민국 의사 현실",5
"310","대화",3
"311","댄서",1
"312","댓글조작 김경수의원 야당 특검추진",1
"313","댓글조작몸통 김경수의원",1
"314","데이트",3
"315","데이트코스",3
"316","도",4
"317","도박",2
"318","도박 중독",2
"319","도전",2
"320","독립",3
"321","독일",1
"322","독한 아내",2
"323","돈",3
"324","돈 안 벌고 집에만 있는 남편",4
"325","돈에 미친 세상",5
"326","돌싱",4
"327","돌아온 싱글",4
"328","동거하는 딸",3
"329","동남아 여행",3
"330","동생",4
"331","동성관계",1
"332","두번째 결혼",3
"333","두아이",2
"334","뒷담화",6
"335","뒷담화 대처법",4
"336","뒷이야기",4
"337","듀오",3
